#OPEN_EXPORT: 2020.4.14.1354
#Datum vytvoøení souboru: 15.04.2020 13:20
#Stažením publikovaných dat souhlasíte s podmínkami užití tìchto dat.

METADATA
Stanice ID;Jméno stanice;Zaèátek mìøení;Konec mìøení;Zemìpisná délka;Zemìpisná šíøka;Nadmoøská výška
B1HODO01;Hodonín;01.01.1961;31.08.1971;17,1317;48,8575;180
B1HODO01;Hodonín;01.09.1971;31.12.1972;17,1358;48,8536;180
B1HODO01;Hodonín;01.01.1973;30.06.1977;17,1206;48,8456;160
B1HODO01;Hodonín;01.07.1977;31.07.1978;17,1208;48,8564;187
B1HODO01;Hodonín;01.11.1978;30.06.1980;17,1419;48,8658;186
B1HODO01;Hodonín;01.05.1981;30.04.1986;17,1403;48,8594;164
B1HODO01;Hodonín;01.09.1986;29.02.1992;17,1444;48,8628;164
B1HODO01;Hodonín;01.08.1992;09.06.2003;17,0972;48,8314;161
B1HODO01;Hodonín;10.06.2003;30.11.2017;17,1456;48,8617;174
B1HODO01;Hodonín;01.12.2017;31.12.2019;17,104872;48,854292;172

PØÍSTROJE
Pøístroj;Zaèátek mìøení;Konec mìøení;Výška pøístroje
Anemoindikátor;01.01.1961;31.07.1978;10
Anemoindikátor;01.11.1978;30.06.1980;10

PRVEK
Prùmìrná denní rychlost vìtru [F.AVG, m/s]

Popis:
Hodnota - hodnota prvku
Pøíznak - rozšiøující informace o hodnotì

DATA
Rok;Mìsíc;Den;Hodnota;Pøíznak
1962;04;20;3;
1962;04;21;1,7;
1962;04;22;,7;
1962;04;23;,7;
1962;04;24;,3;
1962;04;25;,7;
1962;04;26;,3;
1962;04;27;4,7;
1962;04;28;3;
1962;04;29;2,7;
1962;04;30;6;
1962;05;1;2;
1962;05;2;1,3;
1962;05;3;,7;
1962;05;4;1;
1962;05;5;1;
1962;05;6;1,7;
1962;05;7;,7;
1962;05;8;1,3;
1962;05;9;4;
1962;05;10;2,3;
1962;05;11;1,7;
1962;05;12;1,3;
1962;05;13;2,3;
1962;05;14;2,7;
1962;05;15;2,7;
1962;05;16;2;
1962;05;17;1;
1962;05;18;1,3;
1962;05;19;6,3;
1962;05;20;2,7;
1962;05;21;2;
1962;05;22;1,3;
1962;05;23;1;
1962;05;24;1,3;
1962;05;25;2,7;
1962;05;26;2,3;
1962;05;27;1;
1962;05;28;2;
1962;05;29;1;
1962;05;30;,7;
1962;05;31;3,3;
1962;06;1;7;
1962;06;2;3,3;
1962;06;3;4;
1962;06;4;3,3;
1962;06;5;4,7;
1962;06;6;2,7;
1962;06;7;6;
1962;06;8;2;
1962;06;9;,7;
1962;06;10;1,3;
1962;06;11;3;
1962;06;12;2,3;
1962;06;13;1,3;
1962;06;14;1,7;
1962;06;15;,3;
1962;06;16;2;
1962;06;17;1;
1962;06;18;1,3;
1962;06;19;2;
1962;06;20;1;
1962;06;21;,3;
1962;06;22;1;
1962;06;23;1;
1962;06;24;2,3;
1962;06;25;1,7;
1962;06;26;,3;
1962;06;27;2;
1962;06;28;2,3;
1962;06;29;1,3;
1962;06;30;1,3;
1962;07;1;,7;
1962;07;2;,7;
1962;07;3;1;
1962;07;4;1,3;
1962;07;5;1,7;
1962;07;6;1,3;
1962;07;7;1,7;
1962;07;8;1;
1962;07;9;1;
1962;07;10;,3;
1962;07;11;1,3;
1962;07;12;3;
1962;07;13;4,7;
1962;07;14;,7;
1962;07;15;1;
1962;07;16;1;
1962;07;17;1;
1962;07;18;3;
1962;07;19;2,3;
1962;07;20;1,7;
1962;07;21;4;
1962;07;22;1;
1962;07;23;3,7;
1962;07;24;,7;
1962;07;25;2,3;
1962;07;26;3,3;
1962;07;27;1,3;
1962;07;28;3,3;
1962;07;29;4,7;
1962;07;30;1;
1962;07;31;1,3;
1962;08;1;1;
1962;08;2;,7;
1962;08;3;2;
1962;08;4;1;
1962;08;5;2,7;
1962;08;6;1;
1962;08;7;2,7;
1962;08;8;2;
1962;08;9;1;
1962;08;10;,7;
1962;08;11;1;
1962;08;12;2,3;
1962;08;13;,3;
1962;08;14;,7;
1962;08;15;3,3;
1962;08;16;1;
1962;08;17;,7;
1962;08;18;1,7;
1962;08;19;1,3;
1962;08;20;1;
1962;08;21;1,7;
1962;08;22;1;
1962;08;23;1;
1962;08;24;4,7;
1962;08;25;1;
1962;08;26;,7;
1962;08;27;1;
1962;08;28;,7;
1962;08;29;1,3;
1962;08;30;1,3;
1962;08;31;1,3;
1962;09;1;2,3;
1962;09;2;0;
1962;09;3;1,3;
1962;09;4;4;
1962;09;5;1,7;
1962;09;6;1;
1962;09;7;0;
1962;09;8;2;
1962;09;9;1,3;
1962;09;10;3,3;
1962;09;11;1;
1962;09;12;2;
1962;09;13;2;
1962;09;14;,7;
1962;09;15;2;
1962;09;16;3,7;
1962;09;17;1,3;
1962;09;18;1,3;
1962;09;19;,7;
1962;09;20;0;
1962;09;21;,3;
1962;09;22;1,3;
1962;09;23;1;
1962;09;24;1;
1962;09;25;2;
1962;09;26;1,3;
1962;09;27;1;
1962;09;28;1;
1962;09;29;1,7;
1962;09;30;0;
1962;10;1;,7;
1962;10;2;,7;
1962;10;3;1,7;
1962;10;4;0;
1962;10;5;2;
1962;10;6;2,7;
1962;10;7;5,7;
1962;10;8;1,3;
1962;10;9;1;
1962;10;10;,3;
1962;10;11;1;
1962;10;12;,7;
1962;10;13;3,3;
1962;10;14;3,3;
1962;10;15;1,3;
1962;10;16;,3;
1962;10;17;,3;
1962;10;18;,3;
1962;10;19;1;
1962;10;20;1,7;
1962;10;21;0;
1962;10;22;,7;
1962;10;23;,7;
1962;10;24;1,3;
1962;10;25;,3;
1962;10;26;0;
1962;10;27;1,7;
1962;10;28;1,7;
1962;10;29;1;
1962;10;30;,7;
1962;10;31;,7;
1962;11;1;2,7;
1962;11;2;,3;
1962;11;3;1;
1962;11;4;8;
1962;11;5;9;
1962;11;6;12;
1962;11;7;9;
1962;11;8;11;
1962;11;9;4,7;
1962;11;10;2,7;
1962;11;11;1,3;
1962;11;12;,7;
1962;11;13;,3;
1962;11;14;,3;
1962;11;15;1,3;
1962;11;16;1;
1962;11;17;5,3;
