"id";"X";"Y";"ELEVATION";"NAME";"FNAME";"STATION_TYP";"geometry";"tmean";"tmax";"tmin";"humid";"prec";"snow";"solr";"wind";"pres"
"B2MILE01";16.853889;49.083889;242;"Milešovice";"Milešovice";"MSS";"POINT (16.853889 49.083889)";NA;NA;NA;NA;"prec";"snow";NA;NA;NA
"B2MIRO01";16.3197;48.9442;238;"Miroslav";"Miroslav";"MSS";"POINT (16.3197 48.9442)";NA;NA;NA;NA;"prec";"snow";NA;NA;NA
"B2MKRU01";16.306463;49.039908;255;"Moravský Krumlov";"Moravský Krumlov";"MSS";"POINT (16.306463 49.039908)";NA;NA;NA;NA;"prec";"snow";NA;NA;NA
"B2NAMO01";16.15;49.2167;390;"Námešt nad Oslavou";"Námešt nad Oslavou";"ASS";"POINT (16.15 49.2167)";"tmean";"tmax";"tmin";"humid";"prec";"snow";"solr";"wind";NA
"B2NEDV01";16.3097;49.6344;722;"Nedvezí";"Nedvezí";"AKS1";"POINT (16.3097 49.6344)";"tmean";"tmax";"tmin";"humid";"prec";"snow";"solr";"wind";"pres"
"B2NEMO01";17.1361;49.1808;283;"Nemochovice";"Nemochovice";"AKS2";"POINT (17.1361 49.1808)";"tmean";"tmax";"tmin";"humid";"prec";"snow";NA;"wind";NA
"B2NMES01";16.0689;49.5581;601;"Nové Mesto na Morave";"Nové Mesto na Morave";"ASS";"POINT (16.0689 49.5581)";NA;NA;NA;NA;"prec";"snow";NA;NA;NA
"B2NOVE01";15.7869;49.2547;422;"Nová Ves";"Nová Ves";"ASS";"POINT (15.7869 49.2547)";NA;NA;NA;NA;"prec";"snow";NA;NA;NA
"B2OBOR01";16.603611;49.451667;425;"Obora";"Obora";"ASS";"POINT (16.603611 49.451667)";NA;NA;NA;NA;"prec";"snow";NA;NA;NA
"B2OLES01";16.4231;49.555;535;"Olešnice";"Olešnice";"ASS";"POINT (16.4231 49.555)";"tmean";"tmax";"tmin";NA;"prec";"snow";NA;"wind";NA
"B2PAVL01";15.8772;49.3508;559;"Pavlínov";"Pavlínov";"MSS";"POINT (15.8772 49.3508)";NA;NA;NA;NA;"prec";"snow";NA;NA;NA
"B2POHO01";16.5283;48.9844;180;"Pohorelice";"Pohorelice";"AKS1";"POINT (16.5283 48.9844)";"tmean";"tmax";"tmin";"humid";"prec";"snow";"solr";"wind";NA
"B2POLI01";16.269167;49.716111;552;"Policka";"Policka";"ASS";"POINT (16.269167 49.716111)";NA;NA;NA;NA;"prec";"snow";NA;NA;NA
"B2RADO01";15.9675;49.460278;512;"Radostín";"Radostín";"ASS";"POINT (15.9675 49.460278)";NA;NA;NA;NA;"prec";"snow";NA;NA;NA
"B2ROZS01";16.835258;49.398026;571;"Rozstání";"Rozstání";"MSS";"POINT (16.835258 49.398026)";NA;NA;NA;NA;"prec";"snow";NA;NA;NA
"B2SATO01";16.020556;48.789167;238;"Šatov";"Šatov";"ASS";"POINT (16.020556 48.789167)";NA;NA;NA;NA;"prec";"snow";NA;NA;NA
"B2SEDC01";16.120556;49.170833;474;"Sedlec";"Sedlec";"AMS";"POINT (16.120556 49.170833)";NA;NA;NA;NA;NA;NA;NA;NA;NA
"B2SEJR01";16.3103;49.4367;519;"Sejrek";"Sejrek";"MSS";"POINT (16.3103 49.4367)";NA;NA;NA;NA;"prec";"snow";NA;NA;NA
"B2SLAB01";16.879167;49.1575;211;"Slavkov u Brna";"Slavkov u Brna";"MSS";"POINT (16.879167 49.1575)";NA;NA;NA;NA;"prec";"snow";NA;NA;NA
"B2SOSU01";16.746944;49.414444;533;"Šošuvka";"Šošuvka";"MSS";"POINT (16.746944 49.414444)";NA;NA;NA;NA;"prec";"snow";NA;NA;NA
"B2STAL01";15.2843;49.0292;639;"Slavonice";"Slavonice, Stálkov";"MSS";"POINT (15.2843 49.0292)";NA;NA;NA;NA;"prec";"snow";NA;NA;NA
"B2STEM01";15.7133;49.1936;617;"Štemechy";"Štemechy";"MSS";"POINT (15.7133 49.1936)";NA;NA;NA;NA;"prec";"snow";NA;NA;NA
"B2STEP01";16.3333;49.5;365;"Štepánov nad Svratkou";"Štepánov nad Svratkou";"MSS";"POINT (16.3333 49.5)";NA;NA;NA;NA;"prec";"snow";NA;NA;NA
"B2STHU01";17.2883;49.1372;427;"Staré Hute";"Staré Hute";"ASS";"POINT (17.2883 49.1372)";NA;NA;NA;NA;"prec";"snow";NA;NA;NA
"B2STRA01";16.198;49.4411;445;"Strážek";"Strážek";"MSS";"POINT (16.198 49.4411)";NA;NA;NA;NA;"prec";"snow";NA;NA;NA
"B2STRE01";15.9828;48.9934;325;"Strelice";"Strelice";"ASS";"POINT (15.9828 48.9934)";NA;NA;NA;NA;"prec";"snow";NA;NA;NA
"B2SVLK01";16.550556;49.589167;395;"Stvolová";"Stvolová, Skrib";"MSS";"POINT (16.550556 49.589167)";NA;NA;NA;NA;"prec";"snow";NA;NA;NA
"B2TESA01";16.7658;49.0419;209;"Tešany";"Tešany";"MSS";"POINT (16.7658 49.0419)";NA;NA;NA;NA;"prec";"snow";NA;NA;NA
"B2TREB01";15.87;49.2236;463;"Trebíc";"Trebíc, Podklášterí";"MSS";"POINT (15.87 49.2236)";NA;NA;NA;NA;"prec";"snow";NA;NA;NA
"B2TRES01";15.476111;49.293889;574;"Trešt";"Trešt";"ASS";"POINT (15.476111 49.293889)";NA;NA;NA;NA;"prec";"snow";NA;NA;NA
"B2TROU01";16.5074;49.1745;278;"Troubsko";"Troubsko";"AKS2";"POINT (16.5074 49.1745)";"tmean";"tmax";"tmin";"humid";"prec";"snow";"solr";"wind";NA
